"member_casual","day_of_week","hour","event_type","trip_count"
casual,1,0,end,8811
member,1,0,end,7520
casual,1,0,start,9637
member,1,0,start,8032
casual,1,1,end,7286
member,1,1,end,5893
casual,1,1,start,6782
member,1,1,start,5405
member,1,2,end,3539
casual,1,2,end,4913
member,1,2,start,3271
casual,1,2,start,4314
member,1,3,end,2227
casual,1,3,end,2851
member,1,3,start,1988
casual,1,3,start,2413
member,1,4,end,1553
casual,1,4,end,1759
member,1,4,start,1570
casual,1,4,start,1665
member,1,5,end,1824
casual,1,5,end,1522
member,1,5,start,1997
casual,1,5,start,1603
member,1,6,end,3752
casual,1,6,end,2480
member,1,6,start,4232
casual,1,6,start,3010
member,1,7,end,6426
casual,1,7,end,3867
member,1,7,start,7330
casual,1,7,start,4661
member,1,8,end,11394
casual,1,8,end,6417
member,1,8,start,12385
casual,1,8,start,7779
member,1,9,end,17033
casual,1,9,end,10921
member,1,9,start,18488
casual,1,9,start,13158
casual,1,10,end,16866
member,1,10,end,23636
casual,1,10,start,19065
member,1,10,start,24782
casual,1,11,end,21825
member,1,11,end,27494
casual,1,11,start,24017
member,1,11,start,28661
casual,1,12,end,25738
member,1,12,end,30002
casual,1,12,start,27003
member,1,12,start,30147
casual,1,13,end,27282
member,1,13,end,30001
casual,1,13,start,27425
member,1,13,start,29951
casual,1,14,end,28154
member,1,14,end,29774
casual,1,14,start,28393
member,1,14,start,29615
casual,1,15,end,29525
member,1,15,end,29779
casual,1,15,start,29287
member,1,15,start,30115
casual,1,16,end,27573
member,1,16,end,29943
casual,1,16,start,26006
member,1,16,start,29564
casual,1,17,end,24163
member,1,17,end,28067
casual,1,17,start,22575
member,1,17,start,27515
member,1,18,end,25863
casual,1,18,end,20930
member,1,18,start,25118
casual,1,18,start,19219
member,1,19,end,21204
casual,1,19,end,16225
member,1,19,start,19686
casual,1,19,start,14283
member,1,20,end,15396
casual,1,20,end,11957
member,1,20,start,14324
casual,1,20,start,10586
member,1,21,end,11495
casual,1,21,end,9085
member,1,21,start,10873
casual,1,21,start,8412
member,1,22,end,8685
casual,1,22,end,7583
member,1,22,start,7893
casual,1,22,start,7046
member,1,23,end,5069
casual,1,23,end,5332
member,1,23,start,4627
casual,1,23,start,4726
member,2,0,end,3138
casual,2,0,end,3326
member,2,0,start,2874
casual,2,0,start,3377
member,2,1,end,1763
casual,2,1,end,2061
member,2,1,start,1625
casual,2,1,start,1765
casual,2,2,end,1479
member,2,2,end,1043
casual,2,2,start,1300
member,2,2,start,939
casual,2,3,end,839
member,2,3,end,820
casual,2,3,start,810
member,2,3,start,840
casual,2,4,end,827
member,2,4,end,1113
casual,2,4,start,744
member,2,4,start,1221
casual,2,5,end,1468
member,2,5,end,4749
